iter	Passed	Remaining
0	143	143819
1	144	72173
2	145	48211
3	145	36209
4	145	29036
5	146	24242
6	146	20811
7	147	18239
8	147	16233
9	147	14629
10	148	13317
11	148	12233
12	148	11308
13	149	10517
14	149	9832
15	150	9229
16	150	8697
17	150	8223
18	151	7800
19	151	7419
20	151	7075
21	152	6762
22	152	6476
23	152	6214
24	153	5973
25	153	5752
26	153	5545
27	154	5359
28	154	5181
29	155	5017
30	155	4862
31	155	4715
32	156	4578
33	156	4448
34	156	4327
35	157	4212
36	157	4102
37	157	3999
38	158	3901
39	158	3807
40	159	3719
41	159	3637
42	159	3556
43	160	3479
44	160	3407
45	160	3338
46	161	3272
47	161	3207
48	162	3145
49	162	3085
50	162	3028
51	163	2974
52	163	2921
53	163	2869
54	164	2820
55	164	2774
56	164	2728
57	165	2685
58	165	2642
59	165	2600
60	166	2561
61	166	2522
62	167	2486
63	167	2449
64	167	2414
65	168	2379
66	168	2346
67	168	2311
68	168	2279
69	169	2248
70	169	2219
71	169	2190
72	170	2162
73	170	2135
74	170	2108
75	171	2082
76	171	2057
77	171	2032
78	172	2008
79	172	1985
80	175	1989
81	175	1969
82	176	1948
83	176	1927
84	177	1905
85	177	1886
86	177	1864
87	178	1845
88	178	1826
89	178	1807
90	179	1789
91	179	1771
92	179	1753
93	180	1736
94	180	1720
95	180	1703
96	181	1687
97	181	1672
98	182	1657
99	182	1642
100	182	1627
101	183	1611
102	183	1596
103	183	1582
104	183	1568
105	184	1554
106	184	1541
107	184	1527
108	185	1514
109	185	1502
110	185	1489
111	186	1477
112	186	1464
113	187	1455
114	187	1444
115	187	1432
116	188	1421
117	188	1410
118	188	1399
119	189	1388
120	189	1378
121	190	1367
122	190	1356
123	190	1346
124	190	1336
125	191	1326
126	191	1316
127	191	1306
128	192	1296
129	192	1287
130	192	1278
131	193	1269
132	193	1261
133	193	1252
134	194	1244
135	194	1235
136	194	1227
137	195	1218
138	195	1211
139	195	1203
140	196	1195
141	196	1188
142	196	1180
143	197	1173
144	197	1166
145	198	1159
146	198	1152
147	198	1145
148	199	1138
149	199	1131
150	199	1124
151	200	1117
152	200	1110
153	201	1104
154	204	1113
155	204	1107
156	205	1101
157	205	1095
158	205	1088
159	206	1082
160	206	1076
161	207	1071
162	207	1065
163	207	1059
164	208	1053
165	208	1048
166	209	1043
167	209	1038
168	210	1032
169	210	1027
170	210	1022
171	211	1016
172	211	1011
173	212	1007
174	212	1002
175	217	1020
176	218	1015
177	218	1011
178	219	1006
179	219	1001
180	219	995
181	220	989
182	220	984
183	220	980
184	221	975
185	221	970
186	222	965
187	222	960
188	222	955
189	223	951
190	223	946
191	223	941
192	224	937
193	224	932
194	224	928
195	225	924
196	225	919
197	226	915
198	226	911
199	226	907
200	227	903
201	227	898
202	227	894
203	228	890
204	228	886
205	229	884
206	230	881
207	230	878
208	230	874
209	231	870
210	231	866
211	232	862
212	232	858
213	232	854
214	233	851
215	233	847
216	233	843
217	234	839
218	234	836
219	234	832
220	235	828
221	235	825
222	235	821
223	236	818
224	236	814
225	236	811
226	237	807
227	237	804
228	237	800
229	238	797
230	238	793
231	238	790
232	239	786
233	239	783
234	239	780
235	240	777
236	240	774
237	240	770
238	241	767
239	241	764
240	241	761
241	242	758
242	242	755
243	242	752
244	243	749
245	243	746
246	243	743
247	244	740
248	245	741
249	246	738
250	246	735
251	246	732
252	247	730
253	247	727
254	247	724
255	248	721
256	248	718
257	248	715
258	249	713
259	249	710
260	249	707
261	250	704
262	250	702
263	251	699
264	251	697
265	251	694
266	251	691
267	252	689
268	252	686
269	252	683
270	253	681
271	253	678
272	253	675
273	254	673
274	254	670
275	254	667
276	254	665
277	255	663
278	255	660
279	255	658
280	256	655
281	256	653
282	256	650
283	257	648
284	257	646
285	257	643
286	258	641
287	258	638
288	258	636
289	259	634
290	260	635
291	261	633
292	261	631
293	261	629
294	262	626
295	262	624
296	262	622
297	263	620
298	263	617
299	263	615
300	264	613
301	264	611
302	265	609
303	265	607
304	265	605
305	265	603
306	266	601
307	266	599
308	267	597
309	267	595
310	267	592
311	267	590
312	268	588
313	268	586
314	268	584
315	269	582
316	269	580
317	269	578
318	270	576
319	270	574
320	270	572
321	271	570
322	271	569
323	271	567
324	272	565
325	272	563
326	273	562
327	273	560
328	273	558
329	274	557
330	275	557
331	276	555
332	276	553
333	277	552
334	277	550
335	277	549
336	278	547
337	278	545
338	278	543
339	279	542
340	279	540
341	280	538
342	280	537
343	280	535
344	281	533
345	281	531
346	281	530
347	282	528
348	282	526
349	282	524
350	282	523
351	283	521
352	283	519
353	283	518
354	284	516
355	284	514
356	284	512
357	285	511
358	285	509
359	285	508
360	286	506
361	286	505
362	286	503
363	287	502
364	287	500
365	288	499
366	288	497
367	288	496
368	289	494
369	289	493
370	290	492
371	291	491
372	291	489
373	291	488
374	292	487
375	292	485
376	292	484
377	293	482
378	293	481
379	294	479
380	294	478
381	294	476
382	295	475
383	295	474
384	295	472
385	296	471
386	296	469
387	296	468
388	297	466
389	297	465
390	297	463
391	298	462
392	298	461
393	298	459
394	299	458
395	299	456
396	299	455
397	300	453
398	300	452
399	300	451
400	301	449
401	301	448
402	302	447
403	302	446
404	303	445
405	303	444
406	304	443
407	305	442
408	305	442
409	306	440
410	306	439
411	307	438
412	307	437
413	308	436
414	308	435
415	309	433
416	309	432
417	309	431
418	310	429
419	310	428
420	310	427
421	311	426
422	311	425
423	312	424
424	312	422
425	313	421
426	313	420
427	313	419
428	314	418
429	314	417
430	314	415
431	315	414
432	315	413
433	316	412
434	317	411
435	317	410
436	317	409
437	318	408
438	318	407
439	319	406
440	319	405
441	321	406
442	322	405
443	322	404
444	323	403
445	323	402
446	325	402
447	326	401
448	326	401
449	327	400
450	328	399
451	328	398
452	329	397
453	329	396
454	330	396
455	331	395
456	332	394
457	332	393
458	333	392
459	333	391
460	333	390
461	334	389
462	334	388
463	335	388
464	336	387
465	337	386
466	337	385
467	338	384
468	341	387
469	342	386
470	343	385
471	345	386
472	347	387
473	348	386
474	349	385
475	349	385
476	350	384
477	351	383
478	352	382
479	352	382
480	354	382
481	354	381
482	355	380
483	355	379
484	356	378
485	356	377
486	357	376
487	358	375
488	358	375
489	359	374
490	361	374
491	361	373
492	362	372
493	362	371
494	363	370
495	363	369
496	364	368
497	364	367
498	365	366
499	365	365
500	366	364
501	366	364
502	369	364
503	369	363
504	369	362
505	370	361
506	371	360
507	372	360
508	373	360
509	374	359
510	374	358
511	376	358
512	376	357
513	377	356
514	377	355
515	378	354
516	378	353
517	379	352
518	379	351
519	379	350
520	380	349
521	381	349
522	381	348
523	382	347
524	383	346
525	383	345
526	384	344
527	384	343
528	385	343
529	385	342
530	386	341
531	386	340
532	386	339
533	387	338
534	387	337
535	388	336
536	388	335
537	389	334
538	389	333
539	390	332
540	390	331
541	391	330
542	391	329
543	391	328
544	392	327
545	392	326
546	393	325
547	393	324
548	394	323
549	394	322
550	395	322
551	395	321
552	396	320
553	397	319
554	397	318
555	398	317
556	398	317
557	398	316
558	399	315
559	399	314
560	400	313
561	400	312
562	400	311
563	401	310
564	401	309
565	401	308
566	402	307
567	402	306
568	403	305
569	403	304
570	404	303
571	404	302
572	405	301
573	405	300
574	405	299
575	406	298
576	406	297
577	406	297
578	407	296
579	407	295
580	407	294
581	408	293
582	408	292
583	408	291
584	409	290
585	409	289
586	410	288
587	410	287
588	411	287
589	411	286
590	412	285
591	412	284
592	413	283
593	413	282
594	413	281
595	414	280
596	414	279
597	414	278
598	415	277
599	415	277
600	415	276
601	416	275
602	416	274
603	417	273
604	417	272
605	417	271
606	418	270
607	418	269
608	418	268
609	419	267
610	419	266
611	419	266
612	420	265
613	420	264
614	420	263
615	421	262
616	421	261
617	421	260
618	422	259
619	422	259
620	423	258
621	423	257
622	423	256
623	424	255
624	424	254
625	424	253
626	425	252
627	426	252
628	426	251
629	427	250
630	427	250
631	427	249
632	428	248
633	428	247
634	429	246
635	429	245
636	429	244
637	430	244
638	430	243
639	430	242
640	431	241
641	431	240
642	431	239
643	432	238
644	432	238
645	432	237
646	433	236
647	433	235
648	434	234
649	434	233
650	434	233
651	435	232
652	436	231
653	436	230
654	436	230
655	437	229
656	437	228
657	437	227
658	438	226
659	438	226
660	439	225
661	439	224
662	440	223
663	440	223
664	441	222
665	441	221
666	442	220
667	442	219
668	442	219
669	443	218
670	443	217
671	443	216
672	444	215
673	444	215
674	444	214
675	445	213
676	445	212
677	445	211
678	446	211
679	447	210
680	447	209
681	448	208
682	448	208
683	449	207
684	449	206
685	450	206
686	450	205
687	451	204
688	451	204
689	452	203
690	452	202
691	453	201
692	453	201
693	454	200
694	455	199
695	455	199
696	456	198
697	456	197
698	456	196
699	457	196
700	457	195
701	458	194
702	458	193
703	458	192
704	459	192
705	459	191
706	460	190
707	460	189
708	461	189
709	461	188
710	462	187
711	462	187
712	462	186
713	463	185
714	463	184
715	464	184
716	464	183
717	465	182
718	465	182
719	466	181
720	467	180
721	467	180
722	468	179
723	468	178
724	469	177
725	469	177
726	470	176
727	471	175
728	471	175
729	472	174
730	472	173
731	473	173
732	473	172
733	474	171
734	474	171
735	475	170
736	476	169
737	476	169
738	477	168
739	477	167
740	478	167
741	479	166
742	479	165
743	480	165
744	480	164
745	480	163
746	481	163
747	481	162
748	482	161
749	483	161
750	483	160
751	484	159
752	484	158
753	484	158
754	485	157
755	486	156
756	486	156
757	487	155
758	487	154
759	488	154
760	488	153
761	488	152
762	489	152
763	489	151
764	490	150
765	490	149
766	491	149
767	491	148
768	492	147
769	493	147
770	493	146
771	493	145
772	494	145
