iter	Passed	Remaining
0	211	211295
1	212	105996
2	214	71343
3	216	53867
4	217	43225
5	218	36126
6	218	31035
7	219	27208
8	220	24228
9	220	21847
10	221	19899
11	221	18276
12	222	16913
13	223	15736
14	224	14712
15	224	13819
16	225	13035
17	226	12334
18	226	11715
19	227	11168
20	231	10793
21	232	10352
22	234	9949
23	235	9580
24	238	9295
25	239	8979
26	241	8700
27	243	8447
28	247	8296
29	249	8076
30	252	7906
31	255	7731
32	256	7529
33	283	8062
34	285	7871
35	286	7662
36	287	7493
37	288	7304
38	289	7124
39	289	6953
40	290	6790
41	290	6635
42	291	6489
43	294	6395
44	295	6268
45	296	6141
46	296	6018
47	297	5899
48	298	5784
49	298	5675
50	299	5569
51	299	5468
52	300	5369
53	301	5274
54	301	5183
55	302	5095
56	303	5014
57	303	4936
58	304	4860
59	305	4787
60	306	4715
61	306	4643
62	309	4601
63	310	4535
64	311	4480
65	312	4419
66	312	4358
67	313	4298
68	314	4240
69	314	4184
70	315	4129
71	316	4076
72	316	4025
73	317	3974
74	348	4303
75	349	4250
76	354	4244
77	354	4195
78	358	4184
79	359	4137
80	361	4103
81	362	4059
82	362	4008
83	363	3969
84	364	3924
85	365	3883
86	366	3842
87	366	3801
88	367	3764
89	368	3725
90	404	4037
91	407	4022
92	435	4243
93	435	4201
94	436	4158
95	439	4135
96	440	4097
97	441	4061
98	441	4022
99	442	3983
100	443	3944
101	443	3908
102	445	3879
103	446	3848
104	447	3813
105	448	3779
106	448	3744
107	449	3709
108	449	3675
109	450	3642
110	450	3609
111	451	3577
112	452	3553
113	454	3532
114	459	3532
115	460	3506
116	462	3488
117	463	3466
118	470	3480
119	512	3759
120	513	3729
121	514	3699
122	518	3698
123	519	3670
124	521	3653
125	523	3631
126	524	3603
127	524	3576
128	526	3553
129	529	3543
130	530	3520
131	532	3500
132	532	3474
133	539	3486
134	541	3467
135	541	3441
136	542	3416
137	544	3404
138	546	3384
139	548	3366
140	549	3345
141	552	3336
142	553	3318
143	573	3407
144	574	3385
145	574	3362
146	575	3338
147	575	3315
148	576	3293
149	577	3272
150	578	3250
151	578	3227
152	579	3207
153	580	3186
154	580	3164
155	581	3143
156	582	3130
157	583	3110
158	584	3091
159	585	3073
160	585	3052
161	586	3033
162	586	3013
163	587	2995
164	588	2976
165	588	2958
166	589	2939
167	589	2921
168	590	2903
169	590	2884
170	591	2867
171	591	2849
172	592	2832
173	592	2814
174	593	2798
175	594	2781
176	594	2765
177	595	2748
178	595	2732
179	596	2719
180	598	2709
181	600	2697
182	600	2683
183	601	2668
184	602	2652
185	602	2638
186	603	2624
187	604	2609
188	604	2595
189	605	2580
190	605	2566
191	606	2552
192	607	2538
193	607	2523
194	608	2509
195	608	2496
196	608	2482
197	609	2468
198	609	2454
199	610	2441
200	610	2428
201	612	2419
202	613	2407
203	613	2394
204	614	2383
205	615	2370
206	615	2358
207	616	2346
208	616	2334
209	617	2322
210	617	2310
211	618	2298
212	618	2287
213	620	2277
214	620	2266
215	621	2255
216	621	2243
217	622	2232
218	622	2221
219	623	2209
220	623	2198
221	624	2187
222	624	2176
223	625	2165
224	627	2162
225	628	2152
226	629	2143
227	629	2133
228	630	2122
229	631	2113
230	631	2103
231	632	2094
232	633	2084
233	633	2074
234	634	2064
235	634	2054
236	635	2045
237	635	2035
238	636	2025
239	636	2015
240	637	2006
241	637	1997
242	638	1988
243	638	1979
244	639	1969
245	639	1960
246	642	1959
247	643	1951
248	644	1942
249	644	1933
